safebar,name,website,street_address,city,state,zip,phone,email,certification_date,contact_name,image,latitude,longitude,description,joined_date
True,Jackalope Brewery,https://jackalopebrew.com/,429B Houston St,Nashville,TN,37203,(615) 873-4313,kat@jackalopebrew.com ,1/25/2022,Kat Schermerhorn,,,,null,
True,Whiskey Bent Saloon,https://www.whiskeybentsaloon.com/,306 TN-24,Nashville,TN,37201,(615) 953-2245,ejohnson@cumberlandhospitalitygroup.com ,2/24/2022,Erin Johnson,,,,null,
True,Diskin Cider,https://diskincider.com,1235 Martin St,Nashville,TN,37203,(615) 248-8000,laura@diskincider.com ,04/13/2022,Laura Thompson,,,,null,
True,Cabana Taps,https://cabananashville.com/,1910 Belcourt Ave,Nashville,TN,37212,(615)-577-2262,rose@belcourttaps.com,09/21/2021,Rose Melillo,,,,null,
True,Gypsy Circus – Knoxville,https://gypsycircuscider.com/,621 Lamar St,Knoxville,TN,37917,,,1/9/2022,Beverly Hensley,,,,null,
True,The Oliver Hotel / Peter Kern Library,https://www.theoliverhotel.com/,407 Union Ave,Knoxville,TN,37902,,,2/22/2022,,,,,null,
True,Fountain City Social,https://www.fountaincitysocial.com/,4842 Harvest Mills Way,Knoxville,TN,37918,(865) 748-6324,,3/3/2022,Derek Chapman,,,,null,
True,Knox Brew Hub,https://www.knoxbrewhub.com/,421 Union Ave,Knoxville,TN,37902,,,2/16/2022,Zack Roskop,,,,null,
True,Jig and Reel,https://jigandreel.com/,101 S Central St,Knoxville,TN,37902,(865) 805-1586,gina@jigandreel.com,3/9/2022,Gina Truitt,,,,null,
True,Urban Bar,http://urbanbarknoxville.com/,109 N Central St,Knoxville,TN,37902,,,3/9/2022,,,,,null,
True,Saloon 16 Graduate Hotel,https://www.graduatehotels.com/knoxville/restaurant/saloon-16/,1706 Cumberland Ave,Knoxville,TN,37916,(865) 437-5500,,1/25/2022,,,,,null,
True,High Voltage Kingsport,http://highvoltagekpt.com/,101 Cherokee St #30,Kingsport,TN,37660,(423) 288-1616,,9/3/2021,,,,,null,
True,King's Sport Axe House,https://kingssportaxehouse.com/,101 Cherokee St Suite 20,Kingsport,TN,37660,,,9/3/2021,,,,,null,
False,Jason Aldean's Kitchen + Rooftop Bar,http://jasonaldeansnashville.com/,307 Broadway,Nashville,TN,37201,,,,,,36.161211,-86.776045,null,
False,Dierks Bentley's Whiskey Row ,http://dierkswhiskeyrow.com/nashville-tn/,400 Broadway,Nashville,TN,37203,(629) 203-7822 ,,,,,36.165,-86.78388889,,
False,Honky Tonk Central,http://www.honkytonkcentral.com/,329 Broadway,Nashville,TN,37201,(615) 742-9095,,,,,36.16087,-86.77683,,
